city,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,lat,lon
"Los Angeles city, California",3795370,3821136,3852532,3883916,3913260,3943215,3969262,3982002,3990456,34.052235,-118.243683
"San Diego city, California",1305970,1319697,1337149,1355951,1376725,1388674,1403865,1414427,1425976,32.71576,-117.16382
"San Jose city, California",954492,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119,37.338207,-121.88633
"San Francisco city, California",805550,815677,829027,839841,851116,863836,872795,879166,883305,37.774929,-122.419418
"Fresno city, California",497721,501413,505521,509104,514452,518670,521986,526037,530093,36.739169,-119.784979
"Sacramento city, California",467302,470914,474309,478360,483006,488353,494324,500944,508529,38.57873,-121.466786
"Long Beach city, California",462440,464569,467064,468303,469539,470708,469435,467367,467354,40.169941,-122.784166
"Oakland city, California",391449,396135,401228,406844,413156,418263,420798,423869,429082,36.531544,-119.586168
"Bakersfield city, California",349408,353640,357858,363449,367705,372295,375844,379171,383579,35.369763,-118.969794
"Anaheim city, California",337106,340202,342526,344369,345223,348967,350848,351301,352005,33.82415,-117.897707
"Santa Ana city, California",325340,328255,330650,333887,333669,333736,334175,333007,332725,33.7114075,-117.8681117
"Riverside city, California",305568,309556,312432,315667,317887,320673,323877,326988,330063,33.949274,-117.36368
"Stockton city, California",292446,294922,296666,297172,300670,303926,306407,309316,311178,37.945186,-121.284615
"Irvine city, California",213392,220261,229083,236134,247283,255614,265721,276413,282572,33.672421,-117.764394
"Chula Vista city, California",244656,248339,252457,256819,260069,264490,266610,269429,271651,33.203629,-117.239309
"Fremont city, California",214561,217400,221479,224888,228397,231697,233378,234237,237807,37.51377,-121.944821
"San Bernardino city, California",209853,211402,212444,213111,213588,214709,215431,216296,215941,34.104586,-117.291907
"Modesto city, California",203314,204041,205108,206182,207781,209366,211334,213198,215030,37.66341,-120.990112
"Fontana city, California",197342,199916,201295,202804,204152,206377,208971,211388,213739,34.133677,-117.458299
"Santa Clarita city, California",204213,205317,206285,207123,208180,209247,209668,209895,210089,34.406134,-118.524849
